id,population,jobs,schools
89a88cdb57bffff,606,82,0
89a88cdb597ffff,734,308,2
89a88cdb5b3ffff,1670,100,0
89a88cdb5cfffff,1864,109,0
89a88cd909bffff,29,0,0
89a88cd90b7ffff,1117,480,0
89a88cdb607ffff,1882,1024,0
89a88cd90d3ffff,758,15,0
89a88cdb623ffff,681,2851,0
89a88cd8213ffff,586,720,0
89a88cd824bffff,1327,71,0
89a88cdb677ffff,1673,687,0
89a88cd8283ffff,1533,1,0
89a88cdb6afffff,1688,515,0
89a88cdb6cbffff,85,0,0
89a88cd9197ffff,1641,68,0
89a88cd82bbffff,59,0,0
89a88cd91b3ffff,1231,100,0
89a88cd82d7ffff,1196,63,0
89a88cd91cfffff,1061,232,0
89a88cdb013ffff,1380,4771,0
89a88cdb02fffff,1948,2034,0
89a88cdb04bffff,1758,2803,0
89a88cdb067ffff,2229,3340,1
89a88cdb083ffff,1223,1577,1
89a881ac91bffff,1055,25,0
89a88cdb0bbffff,1070,1492,1
89a88cd840bffff,1628,178,0
89a881ac937ffff,1396,119,0
89a88cdb0d7ffff,1466,423,0
89a88cd8427ffff,1399,59,0
89a88cd8443ffff,1399,203,1
89a88cda217ffff,222,0,0
89a881ac96fffff,1291,62,0
89a88cdb10fffff,197,686,0
89a88cda233ffff,3,880,1
89a881ac98bffff,343,55,0
89a88cdb12bffff,552,510,0
89a88cd847bffff,1445,259,0
89a88cda24fffff,946,649,0
89a881ac9a7ffff,898,456,0
89a88cdb147ffff,450,954,1
89a88cd8497ffff,1128,174,0
89a88cda26bffff,586,98,0
89a881ac9c3ffff,164,0,0
89a88cdb163ffff,1128,268,0
89a88cd84b3ffff,1013,90,1
89a88cda287ffff,996,182,0
89a88cd84cfffff,1085,692,0
89a88cda2a3ffff,529,513,0
89a88cdb19bffff,1899,559,0
89a88cdb1b7ffff,775,337,0
89a88cda2dbffff,1591,141,0
89a88cdb1d3ffff,1437,1343,0
89a88cd941bffff,1316,314,1
89a88cd9437ffff,1466,867,0
89a88cdb20bffff,1530,622,1
89a88cd855bffff,779,72,1
89a88cd9453ffff,705,45,0
89a88cdb227ffff,864,1198,1
89a88cda34bffff,219,1,0
89a88cd946fffff,43,195,2
89a88cdb243ffff,1325,422,0
89a88cd948bffff,1630,92,0
